Name,RTE,TPRR,YDS,YPT,XTD
Devaughn Vele,55,.16,69,7.67,.96
Chris Olave,51,.25,182,14,.55
Bryce Lance,44,.09,42,10.5,.01
DK Metcalf,41,.24,40,4,.5
Matthew Golden,40,.28,95,8.64,.09
Tetairoa McMillan,39,.21,75,9.38,.17
Amon-Ra St. Brown,39,.33,67,5.15,.8
Christian Watson,37,.19,147,21,1.13
Jameson Williams,37,.24,45,5,1.14
Michael Pittman,36,.08,58,19.33,.01
Malik Washington,36,.22,53,6.63,.02
Ja'Marr Chase,36,.11,12,3,.23
Jalen Coker,35,.26,138,15.33,1.4
Nico Collins,35,.29,75,7.5,.93
Michael Wilson,35,.2,56,8,.14
Terry McLaurin,35,.11,14,3.5,.17
Wan'Dale Robinson,33,.18,38,6.33,.02
Carnell Tate,33,.18,38,6.33,.01
Marvin Harrison,33,.09,33,11,.02
DeMario Douglas,32,.22,20,2.86,.04
Caleb Douglas,30,.2,94,15.67,.05
Tee Higgins,30,.2,59,9.83,.07
Chris Godwin,30,.13,40,10,.04
Isaac TeSlaa,30,0,0,,0
Justin Jefferson,29,.31,92,10.22,.73
Kendrick Bourne,29,.28,75,9.38,.1
Emeka Egbuka,29,.21,63,10.5,.04
DeVonta Smith,29,.17,53,10.6,.07
Josh Downs,29,.14,37,9.25,.03
George Pickens,29,.21,28,4.67,.06
Jayden Reed,29,.24,20,2.86,.01
Romeo Doubs,29,.1,0,0,.07
CeeDee Lamb,28,.29,44,5.5,1.45
Ted Hurst,28,.11,36,12,.03
Makai Lemon,28,.14,-5,-1.25,.01
Dontayvion Wicks,27,.15,73,18.25,1.02
Denzel Boston,27,.15,59,14.75,.69
Xavier Hutchinson,27,.22,32,5.33,.03
Tre Tucker,27,.15,27,6.75,.27
Rashee Rice,27,.07,19,9.5,.09
Xavier Worthy,27,.22,18,3,.05
Jaylen Waddle,27,.11,2,.67,.01
Jaxon Smith-Njigba,26,.42,122,11.09,.03
Luther Burden,26,.19,63,12.6,.04
Roman Wilson,26,.23,26,4.33,.29
Kayshon Boutte,26,.08,21,10.5,.07
Tre Harris,26,.23,20,3.33,.01
Quentin Johnston,26,.19,17,3.4,.03
Rashod Bateman,26,.04,0,0,0
Xavier Legette,26,.08,0,0,0
