Name,SNAP,ATT,RUSH_XTD,EXP_YDS,I5,RTE,RTE_PCT,TGT,TPRR,REC_XTD,COMBINED_XTD
Emari Demercado,7.7,2,.05,0,0,2,5.6,0,0,0,.05
Emmett Johnson,35.8,8,.17,0,0,7,21.2,2,.29,.02,.19
Frank Gore,19.2,1,0,0,0,3,9.4,0,0,0,0
George Holani,43.8,8,.14,0,0,7,25.9,1,.14,0,.14
J.K. Dobbins,40.4,8,.03,17,0,5,15.2,0,0,0,.03
Jacory Croskey-Merritt,49.3,16,.61,22,50,13,34.2,1,.08,0,.61
Jadarian Price,50,10,.03,25,0,11,40.7,2,.18,.02,.05
Jahmyr Gibbs,72.6,29,2.1,97,100,17,41.5,5,.29,.01,2.11
James Cook,69.2,13,.16,23,0,16,50,4,.25,.05,.21
Javonte Williams,73.1,12,1.57,0,100,20,55.6,5,.25,.56,2.13
Jaylen Warren,35.9,10,.04,17,0,13,30.2,6,.46,.11,.15
Jaylen Wright,6,1,0,0,0,2,5.4,0,0,0,0
Jeremiyah Love,44.4,11,.42,18,50,15,38.5,3,.2,.01,.43
Jonathan Taylor,88.7,19,1.61,71,100,20,58.8,4,.2,.01,1.62
Jonathon Brooks,19.4,4,0,0,0,5,11.6,2,.4,.02,.02
Justice Hill,45.3,6,.05,0,0,16,53.3,1,.06,0,.05
Kaelon Black,43.8,14,.08,14,0,11,30.6,1,.09,.01,.09
Kaytron Allen,10.4,4,.28,0,50,1,2.6,0,0,0,.28
Keaton Mitchell,31.4,4,.26,0,0,11,31.4,0,0,0,.26
Kendre Miller,30.2,9,.33,0,0,5,7.9,0,0,0,.33
Kenneth Walker,68.7,23,.51,113,100,15,45.5,6,.4,.31,.82
Kenny Gainwell,46.2,5,.05,0,0,12,33.3,1,.08,0,.05
Kimani Vidal,,,,,,3,8.6,0,0,0,0
Kyle Monangai,44.3,10,.25,75,0,15,39.5,2,.13,.01,.26
Kyren Williams,63.2,11,.56,0,66.7,20,69,3,.15,0,.56
Lan Larison,,,,,,2,4.8,2,1,0,0
LeQuint Allen,,,,,,1,4.2,0,0,0,0
Maceo Mason,47.5,15,.94,28,50,7,23.3,0,0,0,.94
